"Station.ID","Date.EST","param","Units","HalfMDL","source"
"PI-02",2006-06-19,"TN","mg/L",0.71,"Lee County"
"PI-02",2006-06-19,"TOC","mg/L",6.41,"Lee County"
"PI-02",2006-06-19,"TP","mg/L",0.08,"Lee County"
"PI-02",2006-06-19,"TSS","mg/L",11,"Lee County"
"PI-02",2006-06-19,"Turb","NTU",0.68,"Lee County"
"PI-02",2006-07-24,"Chla","ug/L",2.7,"Lee County"
"PI-02",2006-07-24,"color","PCU",38.5,"Lee County"
"PI-02",2006-07-24,"DO.mgL","mg/L",5.1,"Lee County"
"PI-02",2006-07-24,"K.par","1/m",1.198,"Lee County"
"PI-02",2006-07-24,"NOx","mg/L",0.04,"Lee County"
"PI-02",2006-07-24,"Pheo","ug/L",6.4,"Lee County"
"PI-02",2006-07-24,"sal","PSU",10.6,"Lee County"
"PI-02",2006-07-24,"secchi","meters",NA,"Lee County"
"PI-02",2006-07-24,"SPC","uS/cm",18000,"Lee County"
"PI-02",2006-07-24,"TKN","mg/L",0.45,"Lee County"
"PI-02",2006-07-24,"TN","mg/L",0.49,"Lee County"
"PI-02",2006-07-24,"TOC","mg/L",8.11,"Lee County"
"PI-02",2006-07-24,"TP","mg/L",0.11,"Lee County"
"PI-02",2006-07-24,"TSS","mg/L",4.25,"Lee County"
"PI-02",2006-07-24,"Turb","NTU",0.82,"Lee County"
"PI-02",2006-08-22,"Chla","ug/L",2.7,"Lee County"
"PI-02",2006-08-22,"color","PCU",33.1,"Lee County"
"PI-02",2006-08-22,"DO.mgL","mg/L",5.4,"Lee County"
"PI-02",2006-08-22,"K.par","1/m",1.058,"Lee County"
"PI-02",2006-08-22,"NOx","mg/L",0.01,"Lee County"
"PI-02",2006-08-22,"Pheo","ug/L",2.3,"Lee County"
"PI-02",2006-08-22,"sal","PSU",19,"Lee County"
"PI-02",2006-08-22,"secchi","meters",NA,"Lee County"
"PI-02",2006-08-22,"SPC","uS/cm",30900,"Lee County"
"PI-02",2006-08-22,"TKN","mg/L",0.39,"Lee County"
"PI-02",2006-08-22,"TN","mg/L",0.4,"Lee County"
"PI-02",2006-08-22,"TOC","mg/L",7.55,"Lee County"
"PI-02",2006-08-22,"TP","mg/L",0.08,"Lee County"
"PI-02",2006-08-22,"TSS","mg/L",4.75,"Lee County"
"PI-02",2006-08-22,"Turb","NTU",0.5,"Lee County"
